Numero de components conexes de un graf grid conex de num_nodes 25 despres d'aplicanr percolacio per nodes amb probabilitat PROB_PERC
PROB_PERC;NUM_CC(mitjana)
0.000000;0.100000
0.010000;6.800000
0.020000;15.900000
0.030000;21.900000
0.040000;27.700000
0.050000;33.600000
0.060000;35.900000
0.070000;42.800000
0.080000;48.300000
0.090000;54.600000
0.100000;62.300000
0.110000;61.900000
0.120000;68.200000
0.130000;69.900000
0.140000;71.600000
0.150000;73.900000
0.160000;76.200000
0.170000;81.100000
0.180000;79.500000
0.190000;86.100000
0.200000;83.200000
0.210000;87.400000
0.220000;81.800000
0.230000;86.500000
0.240000;85.900000
0.250000;81.900000
0.260000;83.300000
0.270000;80.900000
0.280000;80.400000
0.290000;80.000000
0.300000;78.400000
0.310000;77.600000
0.320000;79.000000
0.330000;73.800000
0.340000;76.100000
0.350000;71.300000
0.360000;70.500000
0.370000;66.000000
0.380000;66.900000
0.390000;66.900000
0.400000;65.800000
0.410000;55.300000
0.420000;58.700000
0.430000;54.100000
0.440000;54.200000
0.450000;50.200000
0.460000;51.200000
0.470000;48.200000
0.480000;43.000000
0.490000;39.800000
0.500000;40.000000
0.510000;34.600000
0.520000;34.300000
0.530000;31.400000
0.540000;26.400000
0.550000;30.000000
0.560000;23.300000
0.570000;22.600000
0.580000;22.500000
0.590000;17.700000
0.600000;19.200000
0.610000;20.500000
0.620000;18.000000
0.630000;13.000000
0.640000;11.600000
0.650000;10.300000
0.660000;9.300000
0.670000;8.500000
0.680000;7.200000
0.690000;6.600000
0.700000;7.000000
0.710000;6.900000
0.720000;3.800000
0.730000;4.200000
0.740000;4.600000
0.750000;4.600000
0.760000;2.900000
0.770000;3.800000
0.780000;3.400000
0.790000;2.200000
0.800000;2.400000
0.810000;1.800000
0.820000;1.600000
0.830000;1.800000
0.840000;1.400000
0.850000;1.800000
0.860000;1.400000
0.870000;1.500000
0.880000;1.400000
0.890000;1.300000
0.900000;1.100000
0.910000;1.100000
0.920000;1.100000
0.930000;1.200000
0.940000;1.000000
0.950000;1.000000
0.960000;1.000000
0.970000;1.000000
0.980000;1.000000
0.990000;1.000000
