Numero de components conexes de un graf grid conex de num_nodes 10 despres d'aplicanr percolacio per arestes amb probabilitat PROB_PERC
PROB_PERC;NUM_CC(mitjana)
0.000000;100.000000
0.010000;95.000000
0.020000;91.000000
0.030000;91.000000
0.040000;89.000000
0.050000;88.000000
0.060000;85.000000
0.070000;85.000000
0.080000;83.000000
0.090000;81.000000
0.100000;79.000000
0.110000;78.000000
0.120000;77.000000
0.130000;77.000000
0.140000;76.000000
0.150000;75.000000
0.160000;73.000000
0.170000;72.000000
0.180000;71.000000
0.190000;69.000000
0.200000;69.000000
0.210000;66.000000
0.220000;63.000000
0.230000;60.000000
0.240000;58.000000
0.250000;56.000000
0.260000;54.000000
0.270000;51.000000
0.280000;46.000000
0.290000;44.000000
0.300000;43.000000
0.310000;43.000000
0.320000;40.000000
0.330000;40.000000
0.340000;40.000000
0.350000;37.000000
0.360000;36.000000
0.370000;33.000000
0.380000;32.000000
0.390000;32.000000
0.400000;30.000000
0.410000;28.000000
0.420000;24.000000
0.430000;23.000000
0.440000;23.000000
0.450000;23.000000
0.460000;22.000000
0.470000;20.000000
0.480000;19.000000
0.490000;18.000000
0.500000;17.000000
0.510000;15.000000
0.520000;13.000000
0.530000;13.000000
0.540000;12.000000
0.550000;11.000000
0.560000;11.000000
0.570000;9.000000
0.580000;7.000000
0.590000;7.000000
0.600000;7.000000
0.610000;6.000000
0.620000;6.000000
0.630000;6.000000
0.640000;6.000000
0.650000;6.000000
0.660000;6.000000
0.670000;6.000000
0.680000;5.000000
0.690000;4.000000
0.700000;3.000000
0.710000;3.400000
0.720000;4.000000
0.730000;4.000000
0.740000;4.000000
0.750000;4.000000
0.760000;4.000000
0.770000;3.000000
0.780000;3.000000
0.790000;3.000000
0.800000;2.000000
0.810000;2.000000
0.820000;1.000000
0.830000;1.000000
0.840000;1.000000
0.850000;1.000000
0.860000;1.000000
0.870000;1.000000
0.880000;1.000000
0.890000;1.000000
0.900000;1.000000
0.910000;1.000000
0.920000;1.000000
0.930000;1.000000
0.940000;1.000000
0.950000;1.000000
0.960000;1.000000
0.970000;1.000000
0.980000;1.000000
0.990000;1.000000
